threshold,accuracy,precision,recall,f1
0.05,0.936033084483592,0.9372177306941734,0.9961479198767335,0.9657847108506421
0.06,0.9376980503786455,0.9398231079265562,0.9949626644541899,0.9666071737002706
0.07,0.9394704334282185,0.9424557459960663,0.9938959345739007,0.9674925726153047
0.08,0.9410279821687524,0.9446448703494926,0.9931255185492474,0.968278731149246
0.09,0.9423706966002471,0.9470884500028295,0.9918217375844495,0.9689390649876972
0.1,0.9434448681454428,0.9494346912107267,0.99034016830627,0.9694561276287165
0.11,0.9442504968043397,0.9516828294352538,0.988680810714709,0.9698290896407394
0.12,0.9448412911541973,0.9536268391824584,0.9871399786654024,0.9700940566669579
0.13,0.9448412911541973,0.9547724272513345,0.9858361977006045,0.970055690002041
0.14,0.9452709597722756,0.9562064798296599,0.984710205049188,0.970249043823538
0.15,0.9455932112358344,0.9575904448675784,0.9835249496266445,0.970384446718316
0.16,0.9462377141629518,0.959049106368211,0.9826360080597368,0.9706992945584404
0.17,0.9460765884311725,0.960427062782871,0.9809173876970487,0.9705640905359446
0.18,0.945700628390354,0.9614825158550067,0.979317292876615,0.9703179589559907
0.19,0.9446264568451582,0.9624073317377853,0.9770653075737822,0.9696809292751066
0.2,0.9447875825769375,0.9639845397048489,0.9755244755244755,0.969720176730486
0.21,0.9441967882270799,0.964669288103762,0.9741021690174233,0.969362781234335
0.22,0.9439819539180407,0.9659191241391488,0.9725020741969894,0.9691994211971768
0.23,0.9434985767227027,0.9668358314646525,0.9709612421476829,0.9688941454760497
0.24,0.9429077823728449,0.9679195028114826,0.9691240962427403,0.9685214249755693
0.25,0.9425855309092862,0.9691860119931128,0.9674054758800521,0.9682949254085477
0.26,0.9422632794457275,0.9702363235906899,0.9659239066018727,0.968075312564963
0.27,0.9416724850958698,0.9716214601505556,0.9637904468412943,0.967690110674759
0.28,0.9401686449325958,0.9721390053924506,0.9615384615384616,0.9668096770349184
0.29,0.9396852677372577,0.973031413298096,0.9600568922602821,0.9665006115204486
0.3,0.9389870562328804,0.9738648681199567,0.9583975346687211,0.9660692951015531
0.31,0.9379665932649444,0.9745215238785244,0.9565603887637786,0.9654574274007836
0.32,0.9356034158655138,0.9753168779186124,0.9530638852672751,0.9640619848334981
0.33,0.9340458671249798,0.9760832521908471,0.9505155861088065,0.9631297664084549
0.34,0.932488318384446,0.9766221082829762,0.9482043380348465,0.9622034458910906
0.35,0.9303399752940544,0.977031910332578,0.945359725020742,0.9609349115990482
0.36,0.9289972608625597,0.9778173774118225,0.9430484769467821,0.9601182575117654
0.37,0.9274397121220259,0.9787207796212916,0.9403816522460591,0.9591682533925711
